episode,total_reward,steps,avg_loss,epsilon,solved
1,-152.50,1024,0.0000,0.9970,0
2,-131.00,1024,0.0000,0.9940,0
3,-134.50,1024,0.0000,0.9910,0
4,-63.50,1003,0.0000,0.9881,1
5,15.50,525,0.0000,0.9851,1
6,-143.00,1024,0.0000,0.9821,0
7,-114.50,1024,0.0000,0.9792,0
8,-138.50,1024,0.0000,0.9763,0
9,-139.50,1024,0.0000,0.9733,0
10,-145.50,1024,0.0000,0.9704,0
11,-161.00,1024,0.0000,0.9675,0
12,-134.50,1024,0.0000,0.9646,0
13,-146.00,1024,0.0000,0.9617,0
14,-133.50,1024,0.0000,0.9588,0
15,-131.50,1024,0.0000,0.9559,0
16,-143.00,1024,0.0000,0.9531,0
17,-131.00,1024,0.0000,0.9502,0
18,-140.50,1024,0.0000,0.9474,0
19,-135.00,1024,0.0000,0.9445,0
20,-140.00,1024,0.0000,0.9417,0
21,-137.00,1024,0.0000,0.9389,0
22,-138.50,1024,0.0000,0.9360,0
23,-125.00,1024,0.0000,0.9332,0
24,-154.00,1024,0.0000,0.9304,0
25,-142.00,1024,0.0000,0.9276,0
26,-136.00,1024,0.0000,0.9249,0
27,-146.00,1024,0.0000,0.9221,0
28,-143.00,1024,0.0000,0.9193,0
29,-113.50,1024,0.0000,0.9166,0
30,-155.50,1024,0.0000,0.9138,0
31,-160.50,1024,0.0000,0.9111,0
32,-42.00,898,0.0000,0.9083,1
33,-133.00,1024,0.0000,0.9056,0
34,-132.00,1024,0.0000,0.9029,0
35,-144.00,1024,0.0000,0.9002,0
36,-131.50,1024,0.0000,0.8975,0
37,-158.00,1024,0.0000,0.8948,0
38,-162.00,1024,0.0000,0.8921,0
39,-143.00,1024,0.0000,0.8894,0
40,-166.00,1024,0.0000,0.8868,0
41,-147.00,1024,0.0000,0.8841,0
42,-144.00,1024,0.0000,0.8814,0
43,-62.00,850,0.0000,0.8788,1
44,-165.50,1024,0.0000,0.8762,0
45,-153.00,1024,0.0000,0.8735,0
46,-144.00,1024,0.0000,0.8709,0
47,-149.00,1024,0.0000,0.8683,0
48,-176.00,1024,0.0000,0.8657,0
49,-192.00,1024,0.0000,0.8631,0
50,-179.50,1024,0.0000,0.8605,0
51,-149.00,1024,0.0000,0.8579,0
52,-157.50,1024,0.0000,0.8554,0
53,-161.50,1024,0.0000,0.8528,0
54,-129.50,1024,0.0000,0.8502,0
55,-160.50,1024,0.0000,0.8477,0
56,-140.50,1024,0.0000,0.8451,0
57,-179.50,1024,0.0000,0.8426,0
58,-193.50,1024,0.0000,0.8401,0
59,-138.00,1024,0.0000,0.8376,0
60,-183.50,1024,0.0000,0.8350,0
61,-180.50,1024,0.0000,0.8325,0
62,-183.50,1024,0.0000,0.8300,0
63,-174.50,1024,0.0000,0.8276,0
64,-154.00,1024,0.0000,0.8251,0
65,-142.00,1024,0.0000,0.8226,0
66,-154.50,1024,0.0000,0.8201,0
67,-177.50,1024,0.0000,0.8177,0
68,-151.50,1024,0.0000,0.8152,0
69,-163.00,1024,0.0000,0.8128,0
70,-176.50,1024,0.0000,0.8103,0
71,-172.50,1024,0.0000,0.8079,0
72,-166.50,1024,0.0000,0.8055,0
73,-208.50,1024,0.0000,0.8031,0
74,-142.00,1024,0.0000,0.8006,0
75,-168.50,1024,0.0000,0.7982,0
76,-191.00,1024,0.0000,0.7959,0
