episode,total_reward,steps,avg_loss,epsilon,solved
1,-126.50,1024,0.0595,0.9970,0
2,-25.00,451,0.0450,0.9940,1
3,-102.00,1024,0.0813,0.9910,0
4,-58.00,743,0.0704,0.9881,1
5,-116.50,1024,0.0656,0.9851,0
6,-131.50,1024,0.0865,0.9821,0
7,-124.50,1024,0.1462,0.9792,0
8,-92.50,1024,0.1885,0.9763,0
9,-114.00,1024,0.1573,0.9733,0
10,-34.50,498,0.2044,0.9704,1
11,-43.50,516,0.1774,0.9675,1
12,-101.00,1024,0.2190,0.9646,0
13,-91.00,1024,0.2074,0.9617,0
14,-41.50,586,0.1468,0.9588,1
15,-83.00,1024,0.1937,0.9559,0
16,-93.00,1024,0.1742,0.9531,0
17,-77.50,1024,0.1556,0.9502,0
18,-29.00,347,0.1413,0.9474,1
19,-23.50,422,0.2078,0.9445,1
20,-2.00,243,0.1836,0.9417,1
21,4.50,174,0.1990,0.9389,1
22,-52.00,691,0.2043,0.9360,1
23,-72.50,888,0.1682,0.9332,1
24,-61.00,1024,0.1629,0.9304,0
25,-31.00,513,0.1133,0.9276,1
26,-35.50,694,0.1507,0.9249,1
27,-18.50,436,0.2156,0.9221,1
28,-4.00,329,0.1209,0.9193,1
29,9.00,199,0.1337,0.9166,1
30,-42.00,653,0.0797,0.9138,1
31,-23.50,372,0.0881,0.9111,1
32,11.50,150,0.1630,0.9083,1
33,-9.50,272,0.1805,0.9056,1
34,-33.00,611,0.0783,0.9029,1
35,-0.50,282,0.1449,0.9002,1
36,-47.50,596,0.0887,0.8975,1
37,-3.50,280,0.0893,0.8948,1
38,-20.50,442,0.0611,0.8921,1
39,-19.00,367,0.0730,0.8894,1
40,-45.00,669,0.0725,0.8868,1
41,-20.00,569,0.0766,0.8841,1
42,5.50,346,0.0957,0.8814,1
43,-16.00,495,0.0707,0.8788,1
44,-17.50,294,0.0944,0.8762,1
45,-2.00,243,0.0528,0.8735,1
46,-11.00,251,0.0839,0.8709,1
47,-8.50,274,0.0219,0.8683,1
48,-14.00,427,0.0311,0.8657,1
49,-13.50,388,0.0469,0.8631,1
50,3.00,251,0.0593,0.8605,1
51,-10.00,327,0.0276,0.8579,1
52,-11.00,341,0.0156,0.8554,1
53,-0.50,260,0.0150,0.8528,1
54,-13.50,370,0.0300,0.8502,1
55,-8.00,203,0.0324,0.8477,1
56,-5.00,261,0.0230,0.8451,1
57,-6.00,327,0.0217,0.8426,1
58,-16.00,401,0.0141,0.8401,1
59,14.00,123,0.0284,0.8376,1
60,-26.50,464,0.0193,0.8350,1
61,4.00,235,0.0090,0.8325,1
62,3.50,144,0.0044,0.8300,1
63,-8.00,345,0.0331,0.8276,1
64,6.50,278,0.0361,0.8251,1
65,3.00,187,0.0184,0.8226,1
66,-72.00,1024,0.0148,0.8201,0
67,-31.00,557,0.0132,0.8177,1
68,0.50,282,0.0057,0.8152,1
69,-66.00,1024,0.0050,0.8128,0
70,10.00,135,0.0111,0.8103,1
71,-1.00,137,0.0030,0.8079,1
72,-1.00,267,0.0022,0.8055,1
73,11.50,198,0.0083,0.8031,1
74,-10.50,310,0.0045,0.8006,1
75,10.00,185,0.0081,0.7982,1
76,7.50,228,0.0033,0.7959,1
77,15.00,119,0.0019,0.7935,1
78,-22.00,441,0.0106,0.7911,1
79,12.50,124,0.0031,0.7887,1
80,9.00,193,0.0169,0.7863,1
81,-9.00,351,0.0047,0.7840,1
82,-63.00,1024,0.0019,0.7816,0
83,11.50,136,0.0019,0.7793,1
84,-17.50,538,0.0019,0.7770,1
85,-5.00,325,0.0025,0.7746,1
86,12.50,88,0.0018,0.7723,1
87,-11.50,378,0.0015,0.7700,1
88,2.00,219,0.0021,0.7677,1
89,18.50,100,0.0017,0.7654,1
90,-26.50,494,0.0022,0.7631,1
91,4.50,186,0.0021,0.7608,1
92,8.50,182,0.0024,0.7585,1
93,5.00,215,0.0019,0.7562,1
94,10.00,155,0.0033,0.7540,1
95,-68.00,1024,0.0019,0.7517,0
96,7.00,227,0.0035,0.7494,1
97,17.00,111,0.0024,0.7472,1
98,12.50,156,0.0020,0.7449,1
99,-67.50,1024,0.0020,0.7427,0
100,5.00,173,0.0024,0.7405,1
101,12.50,162,0.0017,0.7383,1
102,-74.50,1024,0.0023,0.7360,0
103,8.00,155,0.0012,0.7338,1
104,-33.50,554,0.0021,0.7316,1
105,17.00,89,0.0048,0.7294,1
106,-67.50,1024,0.0026,0.7273,0
107,-4.00,359,0.0020,0.7251,1
108,11.50,144,0.0019,0.7229,1
109,11.50,128,0.0023,0.7207,1
110,9.50,126,0.0020,0.7186,1
111,-69.00,1024,0.0027,0.7164,0
