model,size,maze,maze_seed,train_seed,shortest,final_solved,final_optimal,final_path_len,final_looped,first_solved_phase,first_solved_step,first_solved_env_steps,first_solved_expert_epochs,first_solved_seconds,first_optimal_phase,first_optimal_step,first_optimal_env_steps,first_optimal_expert_epochs,first_optimal_seconds
legacy_simple_ppo,small,small_00,100,7,30,False,False,12,True,,,,,,,,,,
compact_ppo,small,small_00,100,7,30,True,True,30,False,bc,1,0,1,0.0069,bc,1,0,1,0.0069
legacy_simple_ppo,small,small_00,100,17,30,False,False,14,True,,,,,,,,,,
compact_ppo,small,small_00,100,17,30,True,True,30,False,bc,1,0,1,0.004,bc,1,0,1,0.004
legacy_simple_ppo,small,small_01,101,7,60,False,False,14,True,,,,,,,,,,
compact_ppo,small,small_01,101,7,60,True,True,60,False,bc,150,0,150,0.3759,bc,150,0,150,0.3759
legacy_simple_ppo,small,small_01,101,17,60,False,False,12,True,,,,,,,,,,
compact_ppo,small,small_01,101,17,60,True,True,60,False,bc,150,0,150,0.372,bc,150,0,150,0.372
legacy_simple_ppo,small,small_02,102,7,60,False,False,15,True,,,,,,,,,,
compact_ppo,small,small_02,102,7,60,True,True,60,False,bc,150,0,150,0.3852,bc,150,0,150,0.3852
legacy_simple_ppo,small,small_02,102,17,60,False,False,14,True,,,,,,,,,,
compact_ppo,small,small_02,102,17,60,True,True,60,False,bc,150,0,150,0.5135,bc,150,0,150,0.5135
legacy_simple_ppo,medium,medium_00,200,7,96,False,False,22,True,,,,,,,,,,
compact_ppo,medium,medium_00,200,7,96,True,True,96,False,bc,250,0,250,0.7693,bc,250,0,250,0.7693
legacy_simple_ppo,medium,medium_00,200,17,96,False,False,24,True,,,,,,,,,,
compact_ppo,medium,medium_00,200,17,96,True,True,96,False,bc,200,0,200,0.6278,bc,200,0,200,0.6278
legacy_simple_ppo,medium,medium_01,201,7,96,False,False,24,True,,,,,,,,,,
compact_ppo,medium,medium_01,201,7,96,True,True,96,False,bc,250,0,250,0.8225,bc,250,0,250,0.8225
legacy_simple_ppo,medium,medium_01,201,17,96,False,False,21,True,,,,,,,,,,
compact_ppo,medium,medium_01,201,17,96,True,True,96,False,bc,200,0,200,0.742,bc,200,0,200,0.742
legacy_simple_ppo,medium,medium_02,202,7,144,False,False,23,True,,,,,,,,,,
compact_ppo,medium,medium_02,202,7,144,True,True,144,False,bc,650,0,650,3.1583,bc,650,0,650,3.1583
legacy_simple_ppo,medium,medium_02,202,17,144,False,False,24,True,,,,,,,,,,
compact_ppo,medium,medium_02,202,17,144,True,True,144,False,bc,500,0,500,1.9753,bc,500,0,500,1.9753
legacy_simple_ppo,large,large_00,300,7,204,False,False,34,True,,,,,,,,,,
compact_ppo,large,large_00,300,7,204,False,False,70,True,bc,750,0,750,3.3077,bc,750,0,750,3.3077
legacy_simple_ppo,large,large_00,300,17,204,False,False,35,True,,,,,,,,,,
compact_ppo,large,large_00,300,17,204,False,False,74,True,bc,650,0,650,3.141,bc,650,0,650,3.141
legacy_simple_ppo,large,large_01,301,7,204,False,False,34,True,,,,,,,,,,
compact_ppo,large,large_01,301,7,204,True,True,204,False,bc,350,0,350,1.3381,bc,350,0,350,1.3381
legacy_simple_ppo,large,large_01,301,17,204,False,False,35,True,,,,,,,,,,
compact_ppo,large,large_01,301,17,204,True,True,204,False,bc,350,0,350,1.6249,bc,350,0,350,1.6249
legacy_simple_ppo,large,large_02,302,7,272,False,False,34,True,,,,,,,,,,
compact_ppo,large,large_02,302,7,272,False,False,192,True,bc,650,0,650,2.4645,bc,650,0,650,2.4645
legacy_simple_ppo,large,large_02,302,17,272,False,False,35,True,,,,,,,,,,
compact_ppo,large,large_02,302,17,272,True,True,272,False,bc,600,0,600,2.926,bc,600,0,600,2.926
