model,size,maze,maze_seed,train_seed,phase,phase_step,env_steps,expert_epochs,elapsed_seconds,solved,optimal,path_len,shortest,looped
legacy_simple_ppo,small,small_00,100,7,ppo,0,0,0,0.0,False,False,0,30,False
legacy_simple_ppo,small,small_00,100,7,ppo,1,1024,0,0.4533,False,False,0,30,False
legacy_simple_ppo,small,small_00,100,7,ppo,2,2048,0,0.9442,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,3,3072,0,1.4397,False,False,14,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,4,4096,0,1.902,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,5,5120,0,2.4076,False,False,14,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,6,6144,0,2.9897,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,7,7168,0,3.41,False,False,15,30,False
legacy_simple_ppo,small,small_00,100,7,ppo,8,8192,0,3.8854,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,9,9216,0,4.3582,False,False,5,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,10,10240,0,4.8846,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,11,11264,0,5.3479,False,False,15,30,False
legacy_simple_ppo,small,small_00,100,7,ppo,12,12288,0,5.835,False,False,9,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,13,13312,0,6.2926,False,False,3,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,14,14336,0,6.745,False,False,10,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,15,15360,0,7.2094,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,16,16384,0,7.7202,False,False,15,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,17,17408,0,8.2331,False,False,10,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,18,18432,0,8.7025,False,False,9,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,19,19456,0,9.1557,False,False,14,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,20,20480,0,9.5909,False,False,14,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,21,21504,0,10.0751,False,False,15,30,False
legacy_simple_ppo,small,small_00,100,7,ppo,22,22528,0,10.5328,False,False,14,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,23,23552,0,10.9633,False,False,9,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,24,24576,0,11.3985,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,25,25600,0,11.8978,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,26,26624,0,12.3398,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,27,27648,0,12.7802,False,False,10,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,28,28672,0,13.3039,False,False,10,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,29,29696,0,13.7491,False,False,7,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,30,30720,0,14.1734,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,31,31744,0,14.6082,False,False,15,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,32,32768,0,15.0249,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,33,33792,0,15.4819,False,False,9,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,34,34816,0,15.9141,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,35,35840,0,16.3564,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,36,36864,0,16.7896,False,False,15,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,37,37888,0,17.259,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,38,38912,0,17.7197,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,39,39936,0,18.1797,False,False,15,30,True
legacy_simple_ppo,small,small_00,100,7,ppo,40,40960,0,18.6428,False,False,12,30,True
compact_ppo,small,small_00,100,7,bc,0,0,0,0.0,False,False,16,30,True
compact_ppo,small,small_00,100,7,bc,1,0,1,0.0069,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,50,0,50,0.1487,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,100,0,100,0.3305,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,150,0,150,0.4926,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,200,0,200,0.6453,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,250,0,250,0.8288,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,300,0,300,1.0055,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,350,0,350,1.1459,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,400,0,400,1.2907,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,450,0,450,1.4602,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,500,0,500,1.6833,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,550,0,550,1.8916,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,600,0,600,2.0693,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,650,0,650,2.2236,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,700,0,700,2.377,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,750,0,750,2.5234,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,800,0,800,2.6624,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,850,0,850,2.8089,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,900,0,900,2.9555,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,950,0,950,3.0981,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,1000,0,1000,3.2387,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,1,512,1000,3.4766,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,2,1024,1000,3.7116,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,3,1536,1000,3.9682,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,4,2048,1000,4.2346,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,5,2560,1000,4.493,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,6,3072,1000,4.735,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,7,3584,1000,5.0329,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,8,4096,1000,5.2763,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,9,4608,1000,5.5216,True,True,30,30,False
compact_ppo,small,small_00,100,7,ppo,10,5120,1000,5.7639,True,True,30,30,False
legacy_simple_ppo,small,small_00,100,17,ppo,0,0,0,0.0,False,False,14,30,False
legacy_simple_ppo,small,small_00,100,17,ppo,1,1024,0,0.4683,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,2,2048,0,0.9149,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,3,3072,0,1.3895,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,4,4096,0,1.8392,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,5,5120,0,2.2852,False,False,10,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,6,6144,0,2.7232,False,False,15,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,7,7168,0,3.1494,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,8,8192,0,3.6011,False,False,15,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,9,9216,0,4.052,False,False,7,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,10,10240,0,4.5392,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,11,11264,0,4.9671,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,12,12288,0,5.4082,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,13,13312,0,5.8411,False,False,9,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,14,14336,0,6.2959,False,False,11,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,15,15360,0,6.6887,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,16,16384,0,7.0537,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,17,17408,0,7.4409,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,18,18432,0,7.8333,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,19,19456,0,8.2453,False,False,14,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,20,20480,0,8.6245,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,21,21504,0,9.0043,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,22,22528,0,9.4623,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,23,23552,0,9.8809,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,24,24576,0,10.3133,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,25,25600,0,10.6901,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,26,26624,0,11.0794,False,False,9,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,27,27648,0,11.4498,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,28,28672,0,11.8412,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,29,29696,0,12.2661,False,False,13,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,30,30720,0,12.6558,False,False,12,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,31,31744,0,13.0187,False,False,16,30,True
legacy_simple_ppo,small,small_00,100,17,ppo,32,32768,0,13.3887,False,False,13,30,True
