model,size,maze,maze_seed,train_seed,phase,phase_step,env_steps,expert_epochs,elapsed_seconds,solved,optimal,path_len,shortest,looped
compact_ppo,small,small_00,100,7,bc,0,0,0,0.0,False,False,16,30,True
compact_ppo,small,small_00,100,7,bc,1,0,1,1.3692,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,50,0,50,1.5067,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,100,0,100,1.6382,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,150,0,150,1.7693,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,200,0,200,1.9005,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,250,0,250,2.019,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,300,0,300,2.1507,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,350,0,350,2.2779,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,400,0,400,2.4119,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,450,0,450,2.5448,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,500,0,500,2.6819,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,550,0,550,2.8153,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,600,0,600,2.9459,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,650,0,650,3.0929,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,700,0,700,3.2254,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,750,0,750,3.3588,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,800,0,800,3.4967,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,850,0,850,3.631,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,900,0,900,3.7718,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,950,0,950,3.9068,True,True,30,30,False
compact_ppo,small,small_00,100,7,bc,1000,0,1000,4.0421,True,True,30,30,False
compact_ppo,medium,medium_00,200,7,bc,0,0,0,0.0,False,False,25,96,True
compact_ppo,medium,medium_00,200,7,bc,1,0,1,0.0082,False,False,29,96,True
compact_ppo,medium,medium_00,200,7,bc,50,0,50,0.1825,False,False,2,96,True
compact_ppo,medium,medium_00,200,7,bc,100,0,100,0.3362,False,False,25,96,True
compact_ppo,medium,medium_00,200,7,bc,150,0,150,0.4941,False,False,26,96,True
compact_ppo,medium,medium_00,200,7,bc,200,0,200,0.6544,False,False,52,96,True
compact_ppo,medium,medium_00,200,7,bc,250,0,250,0.8197,True,True,96,96,False
compact_ppo,medium,medium_00,200,7,bc,300,0,300,0.9846,True,True,96,96,False
compact_ppo,medium,medium_00,200,7,bc,350,0,350,1.1544,True,True,96,96,False
